index,filename,suggested_id,category
55,tile_0055.png,TR_ITEM_08,item
56,tile_0056.png,TR_ITEM_09,item
57,tile_0057.png,TR_ITEM_10,item
58,tile_0058.png,TR_ITEM_11,item
59,tile_0059.png,TR_ITEM_12,item
60,tile_0060.png,TR_MONSTER_01,monster
61,tile_0061.png,TR_MONSTER_02,monster
62,tile_0062.png,TR_MONSTER_03,monster
63,tile_0063.png,TR_MONSTER_04,monster
64,tile_0064.png,TR_MONSTER_05,monster
65,tile_0065.png,TR_MONSTER_06,monster
66,tile_0066.png,TR_MONSTER_07,monster
67,tile_0067.png,TR_MONSTER_08,monster
68,tile_0068.png,TR_MONSTER_09,monster
69,tile_0069.png,TR_MONSTER_10,monster
70,tile_0070.png,TR_MONSTER_11,monster
71,tile_0071.png,TR_MONSTER_12,monster
72,tile_0072.png,TR_MONSTER_VAR_01,monster_variant
73,tile_0073.png,TR_MONSTER_VAR_02,monster_variant
74,tile_0074.png,TR_MONSTER_VAR_03,monster_variant
75,tile_0075.png,TR_MONSTER_VAR_04,monster_variant
76,tile_0076.png,TR_MONSTER_VAR_05,monster_variant
77,tile_0077.png,TR_MONSTER_VAR_06,monster_variant
78,tile_0078.png,TR_MONSTER_VAR_07,monster_variant
79,tile_0079.png,TR_MONSTER_VAR_08,monster_variant
80,tile_0080.png,TR_MONSTER_VAR_09,monster_variant
81,tile_0081.png,TR_MONSTER_VAR_10,monster_variant
82,tile_0082.png,TR_MONSTER_VAR_11,monster_variant
83,tile_0083.png,TR_MONSTER_VAR_12,monster_variant
84,tile_0084.png,TR_EFFECT_01,effect
85,tile_0085.png,TR_EFFECT_02,effect
86,tile_0086.png,TR_EFFECT_03,effect
87,tile_0087.png,TR_EFFECT_04,effect
88,tile_0088.png,TR_EFFECT_05,effect
89,tile_0089.png,TR_EFFECT_06,effect
90,tile_0090.png,TR_EFFECT_07,effect
91,tile_0091.png,TR_EFFECT_08,effect
92,tile_0092.png,TR_EFFECT_09,effect
93,tile_0093.png,TR_EFFECT_10,effect
94,tile_0094.png,TR_EFFECT_11,effect
95,tile_0095.png,TR_EFFECT_12,effect
96,tile_0096.png,TR_UI_01,ui
97,tile_0097.png,TR_UI_02,ui
98,tile_0098.png,TR_UI_03,ui
99,tile_0099.png,TR_UI_04,ui
100,tile_0100.png,TR_UI_05,ui
101,tile_0101.png,TR_UI_06,ui
102,tile_0102.png,TR_UI_07,ui
103,tile_0103.png,TR_UI_08,ui
104,tile_0104.png,TR_UI_09,ui
105,tile_0105.png,TR_UI_10,ui
106,tile_0106.png,TR_UI_11,ui
107,tile_0107.png,TR_UI_12,ui
108,tile_0108.png,TR_PLAYER_01,player_npc
109,tile_0109.png,TR_PLAYER_02,player_npc
110,tile_0110.png,TR_PLAYER_03,player_npc
111,tile_0111.png,TR_PLAYER_04,player_npc
112,tile_0112.png,TR_PLAYER_05,player_npc
113,tile_0113.png,TR_PLAYER_06,player_npc
114,tile_0114.png,TR_PLAYER_07,player_npc
115,tile_0115.png,TR_PLAYER_08,player_npc
116,tile_0116.png,TR_PLAYER_09,player_npc
117,tile_0117.png,TR_PLAYER_10,player_npc
118,tile_0118.png,TR_PLAYER_11,player_npc
119,tile_0119.png,TR_PLAYER_12,player_npc
120,tile_0120.png,TR_MISC_01,misc
121,tile_0121.png,TR_MISC_02,misc
122,tile_0122.png,TR_MISC_03,misc
123,tile_0123.png,TR_MISC_04,misc
124,tile_0124.png,TR_MISC_05,misc
125,tile_0125.png,TR_MISC_06,misc
126,tile_0126.png,TR_MISC_07,misc
127,tile_0127.png,TR_MISC_08,misc
128,tile_0128.png,TR_MISC_09,misc
129,tile_0129.png,TR_MISC_10,misc
130,tile_0130.png,TR_MISC_11,misc
131,tile_0131.png,TR_MISC_12,misc
